SKU,Name,Type,Published,Description,Short description,Regular price,Categories,Stock,Tax status,In stock?
BP-HD-001,Front Brake Pads - Honda CBR600RR,simple,1,"High-performance ceramic brake pads for Honda CBR600RR. Excellent stopping power and durability.","Premium brake pads for Honda CBR600RR",45.99,"Brakes > Brake Pads",25,taxable,1
BP-YM-002,Rear Brake Pads - Yamaha R6,simple,1,"OEM quality rear brake pads designed for Yamaha R6. Long-lasting performance.","Quality brake pads for Yamaha R6",39.99,"Brakes > Brake Pads",30,taxable,1
CH-KW-003,Drive Chain 520 - Kawasaki Ninja 650,simple,1,"Premium 520 pitch drive chain with 120 links. Gold finish for added style.","520 chain for Kawasaki Ninja 650",89.99,"Drive Train > Chains",15,taxable,1
SP-SZ-004,Front Sprocket 15T - Suzuki GSX-R750,simple,1,"Hardened steel front sprocket, 15 teeth. Direct replacement for Suzuki GSX-R750.","15T front sprocket for GSX-R750",34.99,"Drive Train > Sprockets",20,taxable,1
SP-HD-005,Rear Sprocket 45T - Honda CBR1000RR,simple,1,"Lightweight aluminum rear sprocket with 45 teeth. Red anodized finish.","45T aluminum sprocket for CBR1000RR",79.99,"Drive Train > Sprockets",12,taxable,1
OF-YM-006,Engine Oil Filter - Yamaha MT-09,simple,1,"High-flow oil filter for Yamaha MT-09. Superior filtration and engine protection.","Oil filter for Yamaha MT-09",12.99,"Engine > Oil Filters",50,taxable,1
AF-KW-007,Air Filter - Kawasaki Z900,simple,1,"Washable and reusable high-flow air filter. Increases horsepower and throttle response.","Reusable air filter for Z900",69.99,"Engine > Air Filters",18,taxable,1
SP-HD-008,Spark Plugs (Set of 4) - Honda CBR650R,simple,1,"Iridium spark plugs for improved fuel efficiency and performance. Set of 4.","Iridium spark plugs for CBR650R",32.99,"Engine > Spark Plugs",35,taxable,1
CL-YM-009,Clutch Cable - Yamaha YZF-R3,simple,1,"Heavy-duty clutch cable with smooth operation. Direct OEM replacement.","Clutch cable for YZF-R3",24.99,"Controls > Cables",22,taxable,1
TH-SZ-010,Throttle Cable - Suzuki SV650,simple,1,"Premium throttle cable with PTFE coating for smooth operation.","PTFE throttle cable for SV650",29.99,"Controls > Cables",28,taxable,1
LE-KW-011,LED Headlight Bulb H4 - Universal,simple,1,"6000K LED headlight bulb. 3x brighter than halogen. Universal fitment.","Universal H4 LED headlight bulb",49.99,"Lighting > Headlights",40,taxable,1
TS-HD-012,Turn Signal LED (Pair) - Honda CB650R,simple,1,"Sleek LED turn signals with smoked lens. Sold as pair (left and right).","LED turn signals for CB650R",59.99,"Lighting > Turn Signals",16,taxable,1
TI-YM-013,Front Tire 120/70-17 - Yamaha R1,simple,1,"Sport radial tire with excellent grip and cornering stability. DOT approved.","120/70-17 sport tire for R1",159.99,"Tires & Wheels > Tires",10,taxable,1
TI-KW-014,Rear Tire 180/55-17 - Kawasaki ZX-6R,simple,1,"High-performance rear tire with superior traction. Track and street use.","180/55-17 performance tire for ZX-6R",189.99,"Tires & Wheels > Tires",8,taxable,1
FS-SZ-015,Fork Seal Kit - Suzuki GSX-S1000,simple,1,"Complete fork seal and dust wiper kit. Includes both forks.","Fork seal kit for GSX-S1000",44.99,"Suspension > Fork Seals",14,taxable,1
FO-HD-016,Fork Oil SAE 10W - 1 Liter,simple,1,"Premium fork oil for smooth suspension action. 1 liter bottle.","SAE 10W fork oil 1L",19.99,"Suspension > Fork Oil",45,taxable,1
LV-YM-017,Brake Lever - Yamaha MT-07,simple,1,"CNC machined adjustable brake lever. 6-position adjustment. Black finish.","Adjustable brake lever for MT-07",54.99,"Controls > Levers",19,taxable,1
LV-KW-018,Clutch Lever - Kawasaki Ninja 400,simple,1,"Folding clutch lever to prevent damage in drops. Green accent color.","Folding clutch lever for Ninja 400",49.99,"Controls > Levers",21,taxable,1
MR-HD-019,Bar End Mirrors (Pair) - Universal,simple,1,"Sleek bar end mirrors with convex glass for wider view. Universal fit.","Universal bar end mirrors",64.99,"Mirrors > Bar End",26,taxable,1
EX-SZ-020,Slip-On Exhaust - Suzuki GSX-R600,simple,1,"Stainless steel slip-on exhaust with carbon fiber tip. Deeper sound and weight reduction.","Carbon slip-on exhaust for GSX-R600",449.99,"Exhaust > Slip-On",6,taxable,1
